suffixes
 gsmieee
 stmieee
 ccdeva
 ccdevp
 cpmhnc
 dabvlm
 dacvim
 drcpsc
 facofp
 fcampt
 ifgict
 nbcdch
 nbcfch
 nraemt
 pgeoph
 pharmd
 cbetc
 cbrte
 cchem
 cciso
 ccufc
 cfeds
 chpln
 chpse
 chsos
 cpacc
 cphic
 csrte
 csslp
 ctech
 cwocn
 dabfm
 dcapm
 faafp
 facph
 faicp
 fcahs
 fcasi
 fcela
 fcgma
 fieee
 frcco
 frcgs
 frcpc
 frcsc
 frhsc
 iaccp
 maibc
 mcdba
 mches
 mieee
 mraic
 mrhsc
 nbcch
 ncarb
 ncidq
 nremr
 nremt
 ocelt
 pgeol
 phrca
 pphys
 ptech
 rmsks
 rpbio
 rpsgt
 abpp
 agsf
 aicp
 apss
 aptd
 arrc
 asct
 bcls
 bcss
 btcs
 btss
 capm
 cbhf
 cbne
 cbnt
 cbsp
 cbte
 ccca
 cccm
 ccfp
 cchp
 ccim
 cclp
 ccmt
 ccna
 ccnp
 ccpa
 ccpe
 ccpr
 cdal
 cdfm
 cdir
 cdmp
 cfcc
 cfce
 cfcm
 cfps
 cfre
 cgap
 cgfm
 cgfo
 cgma
 cgsp
 chba
 chdm
 chmc
 chmm
 chpa
 chpe
 chrm
 chrp
 chsc
 chse
 chss
 cipm
 clsd
 cltd
 cmas
 cmed
 cmfo
 cmgr
 cmsp
 cpbe
 cpcm
 cpcu
 cpfa
 cpfo
 cpht
 cpim
 cprc
 cpre
 cprp
 cpsc
 cpsi
 cpss
 cptd
 cpwa
 crma
 crme
 crna
 crsp
 crst
 crtt
 csbe
 cscp
 cscu
 csep
 cspo
 csre
 cssm
 cste
 ctbs
 ctfa
 cvrs
 cwap
 cwcn
 cwdp
 cwep
 cwna
 cwne
 cwsp
 cyds
 dcvo
 dmin
 drmp
 drph
 dvep
 ecns
 facd
 facp
 fcae
 fcas
 fcfp
 fcic
 fcim
 fcip
 fcsi
 ficf
 fmva
 fnss
 frca
 frcd
 frsa
 frsc
 fsdp
 gaee
 gchs
 gcvo
 gphr
 hccp
 iaee
 icdd
 ipep
 kcvo
 lcmt
 lcpc
 lcsw
 lmsw
 lpss
 lsit
 maaa
 mcct
 mcfp
 mcpd
 mcsa
 mcsd
 mcse
 mdiv
 mlis
 mlse
 mmas
 mnaa
 mnae
 mpse
 nbct
 nccp
 ncps
 ncso
 ncsp
 ncto
 obhf
 onwt
 oscp
 pfmp
 pgeo
 pgmp
 plog
 psyd
 qcsw
 qhds
 qhns
 qmed
 rdcs
 rdms
 rhca
 rkin
 rtrp
 sccp
 scmp
 secb
 sscp
 uscg
 usmc
 usnr
 uxmc
 abc
 bca
 bcl
 bds
 bpe
 bpi
 bpt
 bts
 cbe
 cbm
 cbp
 cbs
 cbt
 cbv
 ccc
 cce
 ccm
 ccp
 ccs
 cdc
 cds
 cdt
 cfa
 cfc
 cfe
 cfi
 cfm
 cfo
 cfp
 cfr
 cga
 cgb
 cgc
 cgd
 cgl
 cgm
 cgp
 cgr
 chp
 cht
 cim
 cja
 cjc
 cls
 cma
 cmc
 cmg
 cmm
 cmp
 cms
 cmt
 cna
 cnm
 cnp
 cpa
 cpe
 cpg
 cph
 cpl
 cpm
 cpo
 cpp
 cpt
 crm
 crp
 crt
 csa
 csc
 csi
 csm
 csp
 cst
 ctc
 ctm
 cto
 ctp
 cts
 cva
 cvo
 cvp
 cwb
 cwp
 cxa
 dcm
 dds
 dfc
 dfm
 dma
 dmd
 dnp
 dpm
 dpt
 drb
 dsc
 dsm
 dso
 dss
 dvm
 evp
 fca
 fmp
 fpc
 frm
 fsa
 fws
 gba
 gmb
 gmr
 grp
 gsc
 gsi
 hrs
 irp
 llm
 lmt
 lpc
 lpn
 lsi
 lvo
 lvt
 mba
 mbe
 mbs
 mcm
 mct
 mfa
 mha
 mhi
 mla
 mle
 mls
 mlt
 mmm
 mmp
 mmv
 mna
 mpa
 mph
 mpp
 mra
 msa
 msc
 msm
 mts
 mvo
 nmd
 nrp
 ocm
 ocp
 otd
 pcc
 pci
 pcp
 phc
 phd
 phn
 pls
 pmc
 pmp
 pps
 prm
 prp
 psm
 psp
 pta
 qgm
 qhc
 qhp
 qhs
 qpo
 qsd
 qsp
 rba
 rca
 rci
 rdh
 rfp
 rgd
 rls
 rmt
 rpa
 rpf
 rph
 rpl
 rpn
 rpp
 rrc
 rrt
 rse
 rvm
 rvt
 sfp
 sls
 smv
 sra
 thd
 thm
 usn
 uxc
 vcp
